track_id,track_name,popularity,playlist_id,danceability,energy,acousticness,valence,tempo
5Hfi7ZlAERXAvqmXUrVYa2,Wanna Lose You,46,0,0.55,0.794,0.101,0.463,159.923
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,87,0,0.532,0.869,0.157,0.419,159.803
5jPMcL5mNq82zfRVplSpxG,Brainless,24,0,0.71,0.938,0.166,0.573,172.032
3UgSQu6WwrXfKKDq019IHE,To Ü (feat. AlunaGeorge),66,0,0.485,0.928,0.134,0.362,160.165
5BRrBkpj0An7PViNqMCoGa,Dum Dee Dum,57,0,0.755,0.891,0.273,0.517,160.021
5zz33Ev3mwKnpXI9IZ3a8K,Run This Town,0,0,0.509,0.92,0.279,0.441,173.564
3xIwnKhZxWxKcecqrfXBJj,The Drop,50,0,0.689,0.879,0.104,0.544,170.036
3G1Na74xxuAhiWLyXDPCFN,I Need A Doctor - Edited Version,33,0,0.586,0.93,0.108,0.483,156.024
0gAvViUcru8Qsl40BS4SvH,Battle Scars,30,0,0.517,0.811,0.186,0.497,168.269
6ZuS5RntipgpizPwjdQ86V,Coming Home,28,0,0.351,0.832,0.17,0.225,168.73
1NhPKVLsHhFUHIOZ32QnS2,Secrets,65,0,0.515,0.767,0.098,0.393,148.024
4k5Rb51qsUSMFg6oFdVC48,Love The Way You Lie,41,0,0.638,0.935,0.227,0.651,173.928
1wc971fXAVObXkpL8ZEqDT,Legacy,34,0,0.673,0.898,0.24,0.587,164.17
50ju2h9EUXaFB5f7ajOrfT,Piece of Me - JKAY Remix,29,1,0.752,0.658,0.00131,0.781,124.035
4345xChUKIjeIyGPSYX6XA,Freaks,37,1,0.617,0.925,0.001,0.836,127.988
3dHC2M7GPFB0iNk64foCxj,Reasons feat. Andrew Allen,34,1,0.82,0.705,0.0412,0.81,127.983
75Liz40xlgtL7H9vsDF9tW,Die Young REMIX,41,1,0.767,0.699,0.0355,0.659,127.995
2U0pVx4m1Kdm1Gsjjm6iq8,Strangers,57,1,0.577,0.691,0.0134,0.489,129.984
15zhoCCzmWbxLPtP5l6I6B,Sex Apeal (Max Farenthide Remix) (Feat. Mike W.),25,1,0.805,0.835,0.00278,0.948,130.036
4MKzCHlZvkwJOQRNkdw4zq,Sexy Chick - feat. Akon,44,1,0.811,0.654,0.055,0.744,129.999
2kvYZwZtyps4eyzlue0RmC,Headstrung,19,1,0.815,0.714,0.00148,0.87,139.966
2YMat1AJPpHKoJmwKRjkZn,No Biggie 2012 ft. Maggie,25,1,0.765,0.657,0.0281,0.699,128.014
1LEwexed2UkyzWa9nouvRW,Feeling So Blue - Album Mix,22,1,0.567,0.893,0.00172,0.743,128.013
11aaEsw25frPMj9hszZy2q,Find Yourself - Radio Edit,45,1,0.57,0.596,0.000764,0.378,134.967
2b0S6dLLyTGot51JdoHNG9,Set Free (feat. Yael),34,1,0.776,0.783,0.00834,0.933,127.975
2tdseeP2TePM98X6Jcwf1C,Don't Stop the Party,48,1,0.714,0.952,0.0073,0.958,127.008
7z73ehYAn9O1XP9XlCqVtd,Who Dat Girl - feat. Akon,53,1,0.719,0.616,0.00683,0.632,124.963
4wkQmYpAaMe41Rc3sYZ7Vz,Let's Go,63,1,0.71,0.882,0.00777,0.858,128.016
1fvD4tBLGypUG0Tg2nHHus,Evacuate the Dancefloor - Radio Edit,49,1,0.76,0.694,0.0195,0.896,127.009
3mtukCAgd0mE260QcBfXAX,Love Song,55,1,0.625,0.686,0.0154,0.542,139.817
6TVhP2a7ESba4pR5ePflRw,The Anthem,44,1,0.791,0.782,0.00446,0.902,123.975
6Rb0ptOEjBjPPQUlQtQGbL,Hotel Room Service,60,1,0.851,0.629,0.00705,0.771,125.984
5RzFJd6W40SDTyZkX6xx45,I Know You Want Me (Calle Ocho),67,1,0.82,0.731,0.0133,0.805,127.076
0ct6r3EGTcMLPtrXHDvVjc,The Nights,63,1,0.528,0.852,0.0181,0.656,126.012
4UuHWIkAWnN176A2rx7YFB,1985,65,1,0.607,0.878,0.000246,0.852,119.955
1DqdF42leyFIzqNDv9CjId,Dynamite,66,1,0.75,0.78,0.00622,0.819,119.985
0TyOpxlWwDx98bjkIVHUgY,In My Head,58,1,0.762,0.748,0.0266,0.837,110.009
4bZd0nRuX8HyjeXAUBczvm,I Cry,59,1,0.693,0.822,0.00616,0.76,126.035
4h8VwCb1MTGoLKueQ1WgbD,Wake Me Up,67,1,0.518,0.784,0.00346,0.609,124.102
2S4CfxZG29GZWwDeMtBq2R,I Just Wanna Run,52,1,0.669,0.667,0.00769,0.684,128.103
1N62wozuHCvczCkY4QidpP,Over My Head (Cable Car),59,1,0.592,0.729,0.022,0.7,116.03
0tJGzJjUVlEsn8s3Mn32Jb,Maps,52,1,0.737,0.723,0.0179,0.879,120.003
1qnJYRDhTV4GGMtbLTWtNR,I Remember - Strobelite Mix,43,1,0.672,0.57,0.0561,0.51,127.97
7wAtUSgh6wN5ZmuPRRXHyL,Flesh and Bones,39,1,0.612,0.578,0.0544,0.486,139.998
4MzGM692jKGkNSQ7qzeTaJ,Fever,62,1,0.609,0.674,0.00378,0.744,127.541
6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound,67,1,0.656,0.821,0.000194,0.773,117.948
1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,72,1,0.707,0.924,0.000972,0.924,127.937
5M0DX04ViGG3T1NXiB9EOu,The Others (feat. KLP) - Nghtmre Remix,31,2,0.61,0.831,0.00604,0.43,102.001
5JBH2osD5Y5AneMKPOfY1s,Blow Me Away - Soundtrack Version,53,2,0.533,0.957,0.000761,0.442,99.079
2zUwVdcaXijMUqLsp9BycM,Dum Dee Dum - JiKay Remix,49,2,0.781,0.854,0.0159,0.501,100.043
6JfmjCGy7nYztlgmWrXdsE,TKO,51,2,0.544,0.995,0.00545,0.463,87.999
3p1vmXEMvcESM36eFG8dUU,GString,31,2,0.569,0.891,0.0804,0.307,110.034
0OBUji3zA8FmlabyfkHyLU,Midnight Run - Flux Pavilion Remix,34,2,0.481,0.974,0.000714,0.319,89.978
69G9C5hpuaf6C3tNiWEalT,Romance In B Minor,13,2,0.587,0.816,0.00122,0.236,117.955
7lLChLp64BrRm40WATYPrE,Light Up the Sky (feat. Dani Ummel),32,2,0.607,0.845,0.000634,0.375,120.084
1CQi878MywIlm0FQfbCTvk,Headstrong,32,2,0.619,0.894,0.000176,0.517,92.393
3K4HG9evC7dg3N0R9cYqk4,One Step Closer,68,2,0.492,0.969,0.0014,0.534,95.136
6AbVJjzv7thIvmMCuhZrmK,Make It Bun Dem,60,2,0.556,0.881,0.00119,0.336,104.973
1gAaRSN57UYVRI4eWRyAvP,Pushing Me Away,55,2,0.494,0.906,0.000444,0.306,103.121
7kxM3UJwN6rHAW5kwdlAHK,Forgotten,55,2,0.626,0.942,0.0141,0.579,108.203
60a0Rd6pjrkxjPbaKzXjfq,In The End,76,2,0.553,0.9,0.0113,0.397,105.213
2nLtzopw4rPReszdYBJU6h,Numb,74,2,0.496,0.863,0.0046,0.244,110.018
60ZGteAEtPCnGE6zevgUcd,Mountain Sound,61,2,0.395,0.896,0.0513,0.35,101.867
3ZffCQKLFLUvYM59XKLbVm,Wake Me Up When September Ends,71,2,0.546,0.814,0.023,0.133,104.98
5e0dZqrrTaoj6AIL7VjnBM,Written in the Stars (feat. Eric Turner),44,2,0.656,0.941,0.0694,0.518,91.914
24lMtPOCzP5g4hrg3NklLa,Just The Way You Are,23,2,0.637,0.843,0.0151,0.441,109.012
5k31cAfP8yymw8v0AYQIjr,Best Day Of My Life,16,2,0.672,0.901,0.0545,0.51,99.989
12jQrKEmIjZ7WFETYRyqjk,Talkin’ 2 Myself,31,2,0.446,0.958,0.0836,0.479,88.544
4IJUO9cdEvsHVDk52UZVHr,We Swarm,41,2,0.667,0.783,0.00584,0.394,115.004
2381zVF9gwq7dUvn3xPMIO,Rise (feat. Mona Moua) - Original Mix,25,3,0.442,0.803,0.0188,0.151,140.058
5irnMDJew7e7vLpscN4ISq,All is Fair in Love and Trap,31,3,0.582,0.679,0.000569,0.292,139.993
5dANgSy7v091dhiPnEXNrf,Put On,65,3,0.649,0.785,0.0027,0.285,137.618
1Hk0QRlUFCHYG6zIvUh0Xd,Summer,68,3,0.583,0.748,0.00695,0.234,142.029
0FjkcycxVB1Jd7mcdEDDWp,Magic,59,3,0.551,0.839,0.0241,0.298,141.976
0Q3SC6kEhxYagDP3bFe5K9,Keep It Mello (feat. Omar Linx),72,3,0.686,0.888,0.00134,0.114,142.015
36VsbiKzTGfjdZMyVos7b2,Give You Back Life (Swifty Song),32,3,0.591,0.805,4.76e-05,0.138,139.998
5S0z7MZEboNs1Zoima485G,Smash The Floor - Original Mix,21,3,0.712,0.764,0.000193,0.1,143.001
56WVULdTfBLm31VzVHXKeV,One Trick Pony,36,3,0.684,0.679,0.000602,0.0967,140.139
0bLiYm0pTdsijVQoSKIeeM,When the Beats Drop,15,3,0.452,0.892,0.000781,0.254,140.008
28XFFzVPXs3kzXOERhz3wU,Turn Me On,23,3,0.477,0.846,0.00792,0.0786,139.999
2Vq1ag1tOZIIUN2mH5WZa6,Oh No,26,3,0.518,0.892,0.000531,0.235,140.044
19MbwSLaYgAtyicNUMYYgl,Empathy,38,3,0.367,0.974,1.57e-05,0.304,139.945
4bs7bgxoxnkPAiuGM4rpcp,Promises (feat. Nessakay),28,3,0.476,0.737,0.0359,0.244,140.01
0nq0Uc8fH2KXrOvoDP9Ppz,I Don't Wanna Love You,42,3,0.54,0.658,0.0215,0.27,139.976
5tq5d4HznUEVS8jYxxRiVe,Light It Up (feat. Heather Bright),0,3,0.358,0.77,0.00173,0.213,140.075
5r14W16ijoqLwf0cGBeIii,Twerk - Original Mix,25,3,0.324,0.844,0.00083,0.325,137.213
6BLOGv41SktD5DjhCcqwah,Truth (Dabin Remix),27,3,0.452,0.748,0.00762,0.183,140.059
3gB0inHWfzACc0wjolOdpa,When I Look At You,0,3,0.547,0.737,0.00031,0.039,140.331
0GZrf19S4472ysky5ODe2c,Hush Now (501 Remix),33,3,0.558,0.816,0.0115,0.0767,140.179
3nylK2wvSiZ2ubVHDBRdqM,When I'm Gone (feat. Domonique Porter,0,3,0.467,0.867,0.00237,0.16,140.049
56lxsZRixIIQppROhHiVJF,Heartbeat (DMNDZ Remix) [feat. Collin McLoughlin],0,3,0.604,0.801,0.0155,0.236,139.996
4TYywuf1tdUdbEuDI1nqsg,Guilt,33,3,0.208,0.865,0.00603,0.148,139.992
7lA60IFzUokfaUExuh9WEN,Get It Now,14,3,0.625,0.878,0.000186,0.298,140.04
3k3DZvTCSD4HKvj26dQDk8,Jump Ya Body - Dub Mix,33,3,0.734,0.969,0.0372,0.226,140.024
5LovPZMS579wYfjuapGGHz,Vision,0,3,0.703,0.892,0.00305,0.227,139.958
2kDVDefTovXooa3OiLRR4H,Last Jungle,10,3,0.477,0.76,0.00152,0.0518,144.975
3x94KfC5QAsqFKjUGQBH4k,You & Me (feat. W. Darling),53,3,0.495,0.743,0.000748,0.148,140.047
1LV5G400jD3Ytvyv6Dlkym,Right In,50,3,0.636,0.802,0.00631,0.334,139.815
4efFlbKkwXq3rrMF5RODaI,Flashing Lights,28,3,0.537,0.802,0.0266,0.243,140.099
3GV1T0k3QDPKdZgdQUWiZc,Acrylics,36,3,0.632,0.845,0.00926,0.15,142.042
