track_name,track_id,Danceability,Energy,Acousticness,Valence,Key
Headphones,487En8Tg4r6Na9wSOWyMEZ,0.58,0.869,0.00661,0.555,8.0
Supligen,0lkpaeVSkxoHf2bEUB1XeS,0.478,0.742,0.00143,0.231,0.0
Break Your Heart,1CdqVF1ywD0ZO1zXtB9yWa,0.663,0.892,0.00232,0.62,8.0
Truth (Dabin Remix),6BLOGv41SktD5DjhCcqwah,0.452,0.748,0.00762,0.183,8.0
Ghosts - Hermitude Trapped In Heaven Remix,5ROgGNMqsh5n2Puz9Ezm8a,0.745,0.439,0.0674,0.807,6.0
Sugar (feat. Wynter),4shgvM4ClrZeDiflNJwlGd,0.738,0.868,0.0371,0.202,1.0
Midnight City - Man Without Country Remix,00HFpTTjUHfMmJMZ6HiSHi,0.517,0.423,5.24e-05,0.111,11.0
Animals,6gp3RHhdZlrPGaf5qcgFSg,0.279,0.75,0.000188,0.32,4.0
The Sweet Escape,1q9siR3OqGFnTeqFxwzN1S,0.756,0.786,0.201,0.743,1.0
Price Tag,6ezyEFqZDgQUvxpaDv4jKO,0.638,0.846,0.0288,0.649,9.0
Make Up Your Mind - Original Mix,0SuTP5Ouag9wfROCsSYHaO,0.342,0.684,0.0931,0.479,0.0
Whatever It Takes,3nzL5CIQiCEt6jRt1AlQ9d,0.439,0.884,0.00678,0.503,0.0
Gold Dust (Flux Pavilion Remix),2TPEDo3bJrmhmDxB2Wi3Kw,0.645,0.808,0.00173,0.754,5.0
Good Feeling,3NcO4jGK1Opb5ea0mYLpxb,0.706,0.89,0.0588,0.671,1.0
Alone,2N2Mp4HjnYcmrZ2YqrKedy,0.553,0.861,0.00592,0.365,10.0
In For The Kill - Skrillex Remix,1oS15s7e3o4fJxpg9UR9ns,0.495,0.685,0.0684,0.52,8.0
Run This Town,5zz33Ev3mwKnpXI9IZ3a8K,0.509,0.92,0.279,0.441,1.0
Treat Me Right,6gLu0lGE1iuAhZaGIIi9dI,0.485,0.723,0.422,0.136,7.0
Chiaroscuro,143opsE9Bboqx6RskojZUa,0.387,0.727,0.152,0.151,6.0
Liquid Shards (Original) - Original,0mptj3TfqxEI36lkWHRCZc,0.621,0.795,0.00296,0.144,9.0
Killin' It,3rHFo3c176QQnZ3Ucdbp21,0.514,0.909,0.00113,0.222,11.0
L'Amour Toujours - Tiësto Radio Edit,2TcZ05FR0xQWZOaFWyRWUt,0.591,0.931,0.00763,0.174,3.0
Further Away,6bFLRvcOn4obBpHliIYeZJ,0.442,0.648,0.00143,0.0944,8.0
Blackout,2qJLp4SATqV1OP5IDN7SMl,0.529,0.739,0.233,0.184,7.0
The Home We Made Pt. II (Bonus Version),1XAQlg3R6XWvCgPYsxAWmy,0.613,0.77,0.00639,0.32,6.0
Take Me Home (feat. Bebe Rexha),7iT98FhZ7BAE8xdCxBlw55,0.571,0.903,0.0615,0.466,7.0
Dynamite,1DqdF42leyFIzqNDv9CjId,0.75,0.78,0.00622,0.819,4.0
"Check Yes, Juliet",5Vac8co5QPblcdlWbHSFsE,0.349,0.919,0.00415,0.295,7.0
Hold Me Close,5F7FWI7P3jMzO3yCz0jELg,0.627,0.902,0.000537,0.0445,4.0
Supernova,43B8RYTuBsUZOr5LwNMeYb,0.826,0.94,0.000407,0.743,7.0
